,as.factor(sample_cluster),n,mean,sd,min,Q1,median,Q3,max
Prevotella_amnii.1,1,104,1672,92,1423,1618,1668,1736,1918
Prevotella_amnii.2,2,94,1601,73,1435,1560,1600,1651,1855
Prevotella_amnii.3,3,77,1627,74,1456,1581,1614,1667,1876
Prevotella_amnii.4,4,67,1616,69,1423,1566,1625,1662,1767
Prevotella_amnii.5,5,61,1742,100,1496,1665,1757,1825,1948
Prevotella_amnii.6,6,42,1685,78,1480,1632,1679,1742,1838
Prevotella_amnii.7,7,42,1675,76,1549,1611,1682,1718,1880
Prevotella_amnii.8,8,40,1622,91,1476,1549,1615,1676,1808
Prevotella_amnii.9,9,37,1709,105,1488,1664,1712,1762,1939
Prevotella_amnii.10,10,30,1729,107,1534,1655,1694,1816,1939
Prevotella_amnii.11,11,24,1660,56,1574,1619,1655,1705,1768
Prevotella_melaninogenica,1,82,2455,294,1951,2245,2454,2627,3708
Prevotella_sp000479005.1,1,28,1940,154,1733,1839,1915,2000,2305
Prevotella_sp000479005.2,2,17,1922,118,1754,1866,1914,1992,2176
Prevotella_sp000479005.3,3,16,1935,152,1741,1814,1862,2086,2162
Prevotella_sp000479005.4,4,10,1808,108,1672,1734,1770,1865,2011
Prevotella_sp000758925.1,1,63,1954,95,1756,1895,1943,2018,2185
Prevotella_sp000758925.2,2,54,2085,99,1815,2024,2099,2160,2235
Prevotella_sp000758925.3,3,48,2076,76,1867,2024,2084,2120,2281
Prevotella_sp000758925.4,4,35,2133,51,2051,2096,2131,2162,2242
Prevotella_sp000758925.5,5,32,2115,70,2006,2055,2114,2171,2234
Prevotella_sp000758925.6,6,29,2116,44,2035,2090,2122,2134,2241
Prevotella_sp000758925.7,7,28,2080,95,1874,2028,2097,2148,2259
Prevotella_sp000758925.8,8,27,2067,81,1879,2026,2076,2116,2215
Prevotella_sp000758925.9,9,20,2145,95,1907,2097,2173,2209,2263
Prevotella_sp000758925.10,10,11,2103,119,1879,2067,2122,2182,2246
Prevotella_spNov3.1,1,113,2540,172,2057,2439,2540,2655,3088
Prevotella_spNov3.2,2,105,2491,217,1924,2379,2497,2620,3174
Prevotella_spNov3.3,3,80,2532,202,2022,2409,2552,2670,2932
Prevotella_spNov3.4,4,69,2504,190,2017,2405,2506,2629,2882
Prevotella_spNov3.5,5,66,2557,291,2013,2400,2530,2628,3685
Prevotella_spNov3.6,6,32,2137,238,1769,2009,2088,2167,2807
Prevotella_timonensis.1,1,140,2901,297,2128,2696,2852,3104,3702
Prevotella_timonensis.2,2,95,2890,314,2196,2694,2859,3058,3675
Prevotella_timonensis.3,3,89,2676,266,2082,2459,2684,2816,3245
Prevotella_timonensis.4,4,84,2557,219,2124,2410,2514,2722,3219
Prevotella_timonensis.5,5,66,2353,193,2000,2203,2304,2505,2861
Prevotella_timonensis.6,6,54,2312,165,1977,2199,2310,2412,2733
Prevotella_timonensis.7,7,31,2755,258,2114,2572,2836,2920,3184
Prevotella_timonensis.8,8,18,2888,255,2448,2738,2922,3060,3435
Prevotella_timonensis.9,9,11,3261,221,2910,3078,3352,3396,3619
Prevotella_timonensis.10,10,10,2819,332,2338,2517,2948,3015,3373
Propionimicrobium_lymphophilum,1,41,1808,114,1580,1733,1817,1879,2078
Sneathia_sanguinegens.1,1,149,1063,43,950,1035,1063,1090,1179
Sneathia_sanguinegens.2,2,122,1020,46,887,992,1024,1046,1151
Sneathia_sanguinegens.3,3,86,1059,54,959,1024,1044,1094,1210
Sneathia_sanguinegens.4,4,65,1093,52,869,1064,1098,1124,1224
Sneathia_sanguinegens.5,5,42,1025,42,940,999,1018,1048,1166
Sneathia_sanguinegens.6,6,42,1168,89,1026,1111,1152,1216,1511
Sneathia_sanguinegens.7,7,33,1097,62,986,1051,1111,1140,1213
Sneathia_sanguinegens.8,8,20,1055,50,963,1026,1049,1096,1153
Sneathia_vaginalis.1,1,467,1151,70,935,1102,1148,1200,1324
Sneathia_vaginalis.2,2,167,1299,117,992,1232,1294,1356,1628
Sneathia_vaginalis.3,3,20,1783,171,1404,1745,1811,1880,2104
Sodaliphilus_spNov1,1,98,1888,250,1605,1760,1864,1928,3226
Staphylococcus_aureus,1,25,2299,100,2051,2231,2324,2355,2462
Staphylococcus_epidermidis.1,1,35,2328,148,2027,2216,2329,2417,2661
Staphylococcus_epidermidis.2,2,28,2001,106,1747,1957,1994,2062,2202
Stomatobaculum_sp002892395.1,1,44,1685,102,1494,1617,1668,1732,1916
Stomatobaculum_sp002892395.2,2,39,1695,90,1532,1642,1695,1752,1887
Stomatobaculum_sp002892395.3,3,29,1664,116,1367,1612,1659,1703,1969
Streptococcus,1,45,1458,410,809,1213,1340,1693,3067
Streptococcus_agalactiae.1,1,35,1959,143,1752,1852,1923,2035,2339
Streptococcus_agalactiae.2,2,34,1948,122,1749,1861,1946,2026,2309
Streptococcus_agalactiae.3,3,22,1985,140,1783,1901,1956,2060,2461
Streptococcus_agalactiae.4,4,14,1862,101,1684,1809,1897,1932,1986
Streptococcus_anginosus.1,1,12,1930,159,1646,1859,1930,2027,2186
Streptococcus_anginosus.2,2,130,2041,239,1555,1863,2008,2159,3123
Streptococcus_anginosus.3,3,54,1918,207,1494,1795,1920,2068,2326
Streptococcus_mitis.1,1,85,2773,963,1303,1996,2546,3342,5324
Streptococcus_mitis.2,2,55,2095,448,1470,1860,1987,2167,3823
Streptococcus_salivarius,1,23,2058,213,1619,1920,2039,2222,2437
Sutterella_spNov1,1,20,1655,62,1495,1630,1660,1699,1734
UBA629_sp005465875.1,1,270,1387,80,1165,1340,1382,1434,1583
UBA629_sp005465875.2,2,208,1499,101,1173,1426,1498,1573,1759
UBA629_sp005465875.3,3,66,1450,89,1255,1391,1460,1524,1634
Ureaplasma_parvum.1,1,49,578,22,534,561,583,598,608
Ureaplasma_parvum.2,2,42,527,33,452,504,527,552,592
Ureaplasma_parvum.3,3,34,605,26,547,586,604,625,665
Ureaplasma_parvum.4,4,33,577,22,522,561,583,594,612
Ureaplasma_parvum.5,5,22,566,33,518,534,564,599,612
Ureaplasma_parvum.6,6,18,597,39,521,582,592,603,699
Ureaplasma_parvum.7,7,18,527,19,481,519,526,538,567
Ureaplasma_parvum.8,8,16,579,25,543,559,582,593,622
Ureaplasma_parvum.9,9,14,566,25,528,546,561,587,612
Ureaplasma_parvum.10,10,10,572,25,533,554,574,584,618
Ureaplasma_urealyticum.1,1,12,556,26,495,541,558,577,586
Ureaplasma_urealyticum.2,2,33,631,39,552,600,636,664,697
Varibaculum_cambriense.1,1,40,1811,294,1352,1644,1736,1898,2640
Varibaculum_cambriense.2,2,24,2230,382,1556,1979,2202,2453,3239
Veillonella_montpellierensis.1,1,54,1455,97,1264,1404,1447,1505,1784
Veillonella_montpellierensis.2,2,49,1502,81,1380,1443,1504,1540,1774
Winkia_neuii,1,24,1903,81,1735,1839,1923,1963,2008
