dtc,meanRelabund,domTaxa,minClusterSize,deepSplit,mgCST
22,0.26095655833295267,Trichomonas_vaginalis,24,4,36
10,0.8405851111556855,Lactobacillus_crispatus_1,25,0,1
11,0.8117584386405232,Lactobacillus_crispatus_2,25,0,2
7,0.8643502635506987,Lactobacillus_crispatus_3,25,0,3
15,0.832163497025845,Lactobacillus_crispatus_4,25,0,4
2,0.5543876219627708,Lactobacillus_crispatus_5,25,0,5
13,0.8724524352608115,Lactobacillus_crispatus_6,25,0,6
14,0.8615226336749823,Lactobacillus_crispatus_8,25,0,7
8,0.5393181463996819,Lactobacillus_iners_1,25,0,8
4,0.6423276083559297,Lactobacillus_iners_2,25,0,9
6,0.6437070109366928,Lactobacillus_iners_4,25,0,10
12,0.732481416653051,Lactobacillus_iners_5,25,0,11
9,0.6937091744137587,Lactobacillus_iners_6,25,0,12
5,0.3834599655729295,UBA629_sp005465875_1,25,0,13
3,0.2995183160310313,Gardnerella_vaginalis_2,25,0,14
1,0.2454554787606375,MultiGenera,25,0,15
10,0.8405851111556855,Lactobacillus_crispatus_1,25,1,1
11,0.8117584386405232,Lactobacillus_crispatus_2,25,1,2
7,0.8643502635506987,Lactobacillus_crispatus_3,25,1,3
15,0.832163497025845,Lactobacillus_crispatus_4,25,1,4
17,0.8019165833754756,Lactobacillus_crispatus_5,25,1,5
13,0.8724524352608115,Lactobacillus_crispatus_6,25,1,6
16,0.7851632977693439,Lactobacillus_crispatus_7,25,1,7
14,0.8615226336749823,Lactobacillus_crispatus_8,25,1,8
8,0.5393181463996819,Lactobacillus_iners_1,25,1,9
4,0.6423276083559297,Lactobacillus_iners_2,25,1,10
6,0.6437070109366928,Lactobacillus_iners_4,25,1,11
12,0.732481416653051,Lactobacillus_iners_5,25,1,12
9,0.6937091744137587,Lactobacillus_iners_6,25,1,13
2,0.5072308267439688,Lactobacillus_iners_7,25,1,14
5,0.3834599655729295,UBA629_sp005465875_1,25,1,15
3,0.2995183160310313,Gardnerella_vaginalis_2,25,1,16
1,0.2454554787606375,MultiGenera,25,1,17
10,0.8405851111556855,Lactobacillus_crispatus_1,25,2,1
11,0.8117584386405232,Lactobacillus_crispatus_2,25,2,2
7,0.8643502635506987,Lactobacillus_crispatus_3,25,2,3
17,0.832163497025845,Lactobacillus_crispatus_4,25,2,4
19,0.8019165833754756,Lactobacillus_crispatus_5,25,2,5
14,0.8724524352608115,Lactobacillus_crispatus_6,25,2,6
18,0.7851632977693439,Lactobacillus_crispatus_7,25,2,7
16,0.8615226336749823,Lactobacillus_crispatus_8,25,2,8
8,0.5393181463996819,Lactobacillus_iners_1,25,2,9
4,0.6423276083559297,Lactobacillus_iners_2,25,2,10
6,0.6437070109366928,Lactobacillus_iners_4,25,2,11
12,0.732481416653051,Lactobacillus_iners_5,25,2,12
9,0.6937091744137587,Lactobacillus_iners_6,25,2,13
2,0.5072308267439688,Lactobacillus_iners_7,25,2,14
5,0.3834599655729295,UBA629_sp005465875_1,25,2,15
15,0.4658780758653562,Gardnerella_vaginalis_2,25,2,16
13,0.2719429812326088,Gardnerella_swidsinkii_1,25,2,17
3,0.26770508568279994,Gardnerella_swidsinkii_2,25,2,18
1,0.2454554787606375,MultiGenera,25,2,19
12,0.8405851111556855,Lactobacillus_crispatus_1,25,3,1
13,0.8117584386405232,Lactobacillus_crispatus_2,25,3,2
9,0.8643502635506987,Lactobacillus_crispatus_3,25,3,3
20,0.832163497025845,Lactobacillus_crispatus_4,25,3,4
23,0.8019165833754756,Lactobacillus_crispatus_5,25,3,5
