,mgCST
X343707_MG,mgCST 20
X343712_MG,mgCST 18
X343719_MG,mgCST 11
X343724_MG,mgCST 26
X343726_MG,mgCST 11
X343729_MG,mgCST 16
X343734_MG,mgCST 20
X343744_MG,mgCST 18
X343748_MG,mgCST 16
X343749_MG,mgCST 9
X343755_MG,mgCST 16
X343762_MG,mgCST 20
X343764_MG,mgCST 9
X343767_MG,mgCST 20
X343768_MG,mgCST 18
X343777_MG,mgCST 18
X343780_MG,mgCST 15
X343792_MG,mgCST 20
X343795_MG,mgCST 9
X343806_MG,mgCST 16
X343812_MG,mgCST 26
X343817_MG,mgCST 16
X343820_MG,mgCST 15
X343826_MG,mgCST 10
X343827_MG,mgCST 16
X343832_MG,mgCST 26
X343838_MG,mgCST 26
X343839_MG,mgCST 17
X343846_MG,mgCST 26
X343850_MG,mgCST 15
X343859_MG,mgCST 18
X343866_MG,mgCST 18
X343871_MG,mgCST 16
X343879_MG,mgCST 15
X343882_MG,mgCST 11
X343889_MG,mgCST 16
X343890_MG,mgCST 26
X343910_MG,mgCST 10
X343914_MG,mgCST 15
X343940_MG,mgCST 9
X343980_MG,mgCST 15
X343990_MG,mgCST 26
X343995_MG,mgCST 17
X344015_MG,mgCST 15
X344019_MG,mgCST 18
X344020_MG,mgCST 26
X344021_MG,mgCST 16
X344025_MG,mgCST 15
X344027_MG,mgCST 18
X344030_MG,mgCST 20
X344035_MG,mgCST 15
X344038_MG,mgCST 18
X344049_MG,mgCST 18
X344054_MG,mgCST 20
X344059_MG,mgCST 19
X344062_MG,mgCST 18
X344071_MG,mgCST 16
X344076_MG,mgCST 9
X344081_MG,mgCST 16
X344082_MG,mgCST 10
X344088_MG,mgCST 15
X344095_MG,mgCST 10
X344098_MG,mgCST 15
X344114_MG,mgCST 16
X344118_MG,mgCST 9
X344119_MG,mgCST 16
X344121_MG,mgCST 18
X344124_MG,mgCST 15
X344125_MG,mgCST 16
X344129_MG,mgCST 18
X344134_MG,mgCST 20
X344135_MG,mgCST 10
X344140_MG,mgCST 15
X344144_MG,mgCST 16
X348298_MG,mgCST 19
X323752_MG,mgCST 17
X323757_MG,mgCST 10
X323762_MG,mgCST 11
X323773_MG,mgCST 3
X323781_MG,mgCST 15
X323783_MG,mgCST 26
X323785_MG,mgCST 12
X323791_MG,mgCST 11
X323793_MG,mgCST 3
X323796_MG,mgCST 11
X323805_MG,mgCST 11
X323812_MG,mgCST 16
X323813_MG,mgCST 1
X323823_MG,mgCST 10
X323825_MG,mgCST 11
X323830_MG,mgCST 11
X323843_MG,mgCST 2
X323865_MG,mgCST 11
X323873_MG,mgCST 20
X323875_MG,mgCST 1
X323876_MG,mgCST 24
X323878_MG,mgCST 20
X323880_MG,mgCST 8
X323884_MG,mgCST 9
X323887_MG,mgCST 3
X323891_MG,mgCST 10
X323893_MG,mgCST 22
X323896_MG,mgCST 18
X342282_MG,mgCST 3
X342291_MG,mgCST 15
X342294_MG,mgCST 1
X342298_MG,mgCST 18
X342302_MG,mgCST 20
X342305_MG,mgCST 3
X342306_MG,mgCST 20
X342312_MG,mgCST 10
X342333_MG,mgCST 20
X342341_MG,mgCST 15
X342350_MG,mgCST 11
X342351_MG,mgCST 21
X342359_MG,mgCST 14
X342363_MG,mgCST 9
X342367_MG,mgCST 18
X342377_MG,mgCST 20
X342385_MG,mgCST 18
X342386_MG,mgCST 18
X342387_MG,mgCST 9
X342391_MG,mgCST 20
X342408_MG,mgCST 23
X342414_MG,mgCST 3
X342419_MG,mgCST 20
X342420_MG,mgCST 17
X342433_MG,mgCST 3
X342449_MG,mgCST 11
X342461_MG,mgCST 18
X342469_MG,mgCST 17
X342470_MG,mgCST 16
X342476_MG,mgCST 26
X342480_MG,mgCST 18
X342484_MG,mgCST 18
X342491_MG,mgCST 16
X342506_MG,mgCST 20
X342509_MG,mgCST 15
X342511_MG,mgCST 3
X342520_MG,mgCST 3
X342522_MG,mgCST 1
X342528_MG,mgCST 22
X342538_MG,mgCST 22
X342552_MG,mgCST 17
X342556_MG,mgCST 9
X342566_MG,mgCST 26
X342574_MG,mgCST 20
X342578_MG,mgCST 9
X342591_MG,mgCST 3
X342606_MG,mgCST 9
X342619_MG,mgCST 22
X342630_MG,mgCST 2
X342632_MG,mgCST 9
X342637_MG,mgCST 9
X342639_MG,mgCST 9
X342649_MG,mgCST 16
X342657_MG,mgCST 9
X342662_MG,mgCST 3
X342663_MG,mgCST 10
X342681_MG,mgCST 12
X342682_MG,mgCST 4
X342694_MG,mgCST 9
X342699_MG,mgCST 22
X342703_MG,mgCST 12
X342704_MG,mgCST 14
X342707_MG,mgCST 7
X342709_MG,mgCST 26
X342711_MG,mgCST 9
X342714_MG,mgCST 23
X342724_MG,mgCST 8
X342727_MG,mgCST 24
X342730_MG,mgCST 1
X342737_MG,mgCST 15
X342738_MG,mgCST 9
X342742_MG,mgCST 9
X342746_MG,mgCST 24
X342747_MG,mgCST 15
X342757_MG,mgCST 15
X342758_MG,mgCST 11
X342772_MG,mgCST 9
X342777_MG,mgCST 10
X342781_MG,mgCST 3
X342784_MG,mgCST 4
X342785_MG,mgCST 11
X342789_MG,mgCST 10
X342810_MG,mgCST 15
X342816_MG,mgCST 9
X342825_MG,mgCST 15
X342830_MG,mgCST 11
X342835_MG,mgCST 26
X342839_MG,mgCST 20
X342850_MG,mgCST 3
X342863_MG,mgCST 18
X342880_MG,mgCST 1
X342881_MG,mgCST 9
X342887_MG,mgCST 21
X342895_MG,mgCST 18
X342901_MG,mgCST 15
X342911_MG,mgCST 20
X342916_MG,mgCST 9
X342920_MG,mgCST 20
X342926_MG,mgCST 9
X342938_MG,mgCST 18
X342941_MG,mgCST 15
X342960_MG,mgCST 11
X342969_MG,mgCST 9
X342972_MG,mgCST 20
X342978_MG,mgCST 9
X342986_MG,mgCST 9
X342991_MG,mgCST 3
X342994_MG,mgCST 22
X342997_MG,mgCST 20
X343000_MG,mgCST 16
X343010_MG,mgCST 3
X343029_MG,mgCST 3
X343031_MG,mgCST 9
X343046_MG,mgCST 11
X343048_MG,mgCST 11
X343049_MG,mgCST 17
X343053_MG,mgCST 11
X343063_MG,mgCST 11
X343067_MG,mgCST 9
X343075_MG,mgCST 14
X343078_MG,mgCST 4
X343098_MG,mgCST 1
X343099_MG,mgCST 11
X343101_MG,mgCST 9
X343104_MG,mgCST 13
X343107_MG,mgCST 3
X343114_MG,mgCST 15
X343119_MG,mgCST 17
X343123_MG,mgCST 1
X343134_MG,mgCST 16
X343138_MG,mgCST 20
X343139_MG,mgCST 15
X343140_MG,mgCST 10
X343155_MG,mgCST 2
X343160_MG,mgCST 15
X343165_MG,mgCST 16
X343173_MG,mgCST 11
X343178_MG,mgCST 9
X343185_MG,mgCST 21
X343192_MG,mgCST 22
X343195_MG,mgCST 9
X343203_MG,mgCST 3
X343208_MG,mgCST 9
X343213_MG,mgCST 20
X343215_MG,mgCST 10
X343222_MG,mgCST 9
X343239_MG,mgCST 3
X343243_MG,mgCST 16
X343246_MG,mgCST 23
X343258_MG,mgCST 17
X343264_MG,mgCST 7
X343271_MG,mgCST 16
X343278_MG,mgCST 3
X343283_MG,mgCST 11
X343291_MG,mgCST 18
X343292_MG,mgCST 22
X343301_MG,mgCST 9
X343302_MG,mgCST 20
X343318_MG,mgCST 1
X343328_MG,mgCST 9
X343332_MG,mgCST 23
X343339_MG,mgCST 9
X343342_MG,mgCST 11
X343345_MG,mgCST 9
X343352_MG,mgCST 3
X343357_MG,mgCST 9
X343365_MG,mgCST 10
X343373_MG,mgCST 9
X343381_MG,mgCST 9
X343388_MG,mgCST 3
X343389_MG,mgCST 11
X343396_MG,mgCST 11
X343398_MG,mgCST 3
X343401_MG,mgCST 16
X343406_MG,mgCST 3
X343409_MG,mgCST 9
X343411_MG,mgCST 11
X343415_MG,mgCST 26
X343416_MG,mgCST 20
X343418_MG,mgCST 11
X343425_MG,mgCST 11
X343432_MG,mgCST 9
X343434_MG,mgCST 20
X343439_MG,mgCST 9
X343444_MG,mgCST 9
X343446_MG,mgCST 18
X343452_MG,mgCST 8
X343459_MG,mgCST 10
X343463_MG,mgCST 9
X343466_MG,mgCST 3
X343469_MG,mgCST 9
X343474_MG,mgCST 18
X343493_MG,mgCST 9
X343499_MG,mgCST 11
X343500_MG,mgCST 17
X343511_MG,mgCST 9
X343514_MG,mgCST 26
X343520_MG,mgCST 22
X343532_MG,mgCST 26
X343534_MG,mgCST 11
X343540_MG,mgCST 16
X343545_MG,mgCST 10
X343550_MG,mgCST 15
X343554_MG,mgCST 1
X343555_MG,mgCST 1
X343563_MG,mgCST 17
X343570_MG,mgCST 10
X343574_MG,mgCST 3
X343581_MG,mgCST 3
X343592_MG,mgCST 3
X343594_MG,mgCST 3
X343606_MG,mgCST 3
X343608_MG,mgCST 11
X343613_MG,mgCST 3
X343618_MG,mgCST 11
X343623_MG,mgCST 9
X343625_MG,mgCST 9
X343628_MG,mgCST 10
X343629_MG,mgCST 20
X343651_MG,mgCST 9
X343653_MG,mgCST 16
X343654_MG,mgCST 24
X343661_MG,mgCST 9
X343669_MG,mgCST 11
X343671_MG,mgCST 11
X343672_MG,mgCST 9
X343677_MG,mgCST 10
X343683_MG,mgCST 3
X343686_MG,mgCST 3
X343691_MG,mgCST 10
X343694_MG,mgCST 18
X343695_MG,mgCST 24
X343701_MG,mgCST 21
X343709_MG,mgCST 4
X343714_MG,mgCST 3
X343716_MG,mgCST 21
X343720_MG,mgCST 11
X343731_MG,mgCST 1
X343735_MG,mgCST 3
X343750_MG,mgCST 9
X343754_MG,mgCST 9
X343759_MG,mgCST 9
X343782_MG,mgCST 22
X343783_MG,mgCST 3
X343797_MG,mgCST 22
X343801_MG,mgCST 12
X343802_MG,mgCST 11
X343807_MG,mgCST 11
X343808_MG,mgCST 11
X343815_MG,mgCST 2
X343822_MG,mgCST 14
X343830_MG,mgCST 23
X343845_MG,mgCST 22
X343851_MG,mgCST 9
X343853_MG,mgCST 9
X343856_MG,mgCST 9
X343861_MG,mgCST 9
X343862_MG,mgCST 9
X343869_MG,mgCST 9
X343875_MG,mgCST 3
X343876_MG,mgCST 15
X343884_MG,mgCST 4
X343887_MG,mgCST 1
X343895_MG,mgCST 9
X343897_MG,mgCST 18
X343900_MG,mgCST 9
X343902_MG,mgCST 15
X343904_MG,mgCST 10
X343907_MG,mgCST 16
X343912_MG,mgCST 26
X343917_MG,mgCST 17
X343920_MG,mgCST 1
X343944_MG,mgCST 15
X343960_MG,mgCST 15
X343963_MG,mgCST 1
X343982_MG,mgCST 15
X343991_MG,mgCST 3
X343999_MG,mgCST 23
X344000_MG,mgCST 15
X344001_MG,mgCST 11
X344005_MG,mgCST 7
X344009_MG,mgCST 9
X344010_MG,mgCST 10
X344013_MG,mgCST 26
X344032_MG,mgCST 1
X344041_MG,mgCST 16
X344043_MG,mgCST 26
X344046_MG,mgCST 14
X344048_MG,mgCST 16
X344056_MG,mgCST 1
X344061_MG,mgCST 18
X344066_MG,mgCST 9
X344070_MG,mgCST 3
X344078_MG,mgCST 14
X344086_MG,mgCST 9
X344091_MG,mgCST 9
X344102_MG,mgCST 11
X344105_MG,mgCST 21
X344109_MG,mgCST 17
X344130_MG,mgCST 9
X344139_MG,mgCST 11
X344145_MG,mgCST 9
