,mgCST
343859_MG,mgCST 20
343861_MG,mgCST 19
343862_MG,mgCST 22
343866_MG,mgCST 20
343869_MG,mgCST 22
343871_MG,mgCST 20
343875_MG,mgCST 14
343876_MG,mgCST 20
343879_MG,mgCST 22
343882_MG,mgCST 20
343884_MG,mgCST 20
343887_MG,mgCST 14
343889_MG,mgCST 20
343890_MG,mgCST 20
343895_MG,mgCST 19
343897_MG,mgCST 20
343900_MG,mgCST 19
343902_MG,mgCST 22
343904_MG,mgCST 20
343907_MG,mgCST 22
343910_MG,mgCST 20
343912_MG,mgCST 20
343914_MG,mgCST 20
343917_MG,mgCST 20
343920_MG,mgCST 14
343940_MG,mgCST 20
343944_MG,mgCST 22
343960_MG,mgCST 22
343963_MG,mgCST 14
343980_MG,mgCST 22
343982_MG,mgCST 22
343990_MG,mgCST 20
343991_MG,mgCST 14
343995_MG,mgCST 20
343999_MG,mgCST 23
344000_MG,mgCST 22
344001_MG,mgCST 19
344005_MG,mgCST 23
344009_MG,mgCST 20
344010_MG,mgCST 24
344013_MG,mgCST 20
344015_MG,mgCST 22
344019_MG,mgCST 20
344020_MG,mgCST 20
344021_MG,mgCST 22
344025_MG,mgCST 22
344027_MG,mgCST 20
344030_MG,mgCST 20
344032_MG,mgCST 14
344035_MG,mgCST 20
344038_MG,mgCST 20
344041_MG,mgCST 20
344043_MG,mgCST 20
344046_MG,mgCST 24
344048_MG,mgCST 22
344049_MG,mgCST 20
344054_MG,mgCST 20
344056_MG,mgCST 14
344059_MG,mgCST 20
344061_MG,mgCST 20
344062_MG,mgCST 20
344066_MG,mgCST 19
344070_MG,mgCST 14
344071_MG,mgCST 22
344076_MG,mgCST 19
344078_MG,mgCST 24
344081_MG,mgCST 22
344082_MG,mgCST 20
344086_MG,mgCST 19
344088_MG,mgCST 20
344091_MG,mgCST 20
344095_MG,mgCST 20
344098_MG,mgCST 22
344102_MG,mgCST 19
344105_MG,mgCST 20
344109_MG,mgCST 20
344114_MG,mgCST 20
344118_MG,mgCST 22
344119_MG,mgCST 22
344121_MG,mgCST 20
344124_MG,mgCST 20
344125_MG,mgCST 22
344129_MG,mgCST 20
344130_MG,mgCST 20
344134_MG,mgCST 20
344135_MG,mgCST 20
344139_MG,mgCST 19
344140_MG,mgCST 20
344144_MG,mgCST 22
344145_MG,mgCST 22
348298_MG,mgCST 20
MG_0052RFLQV1,mgCST 5
MG_0139RFLQV1,mgCST 9
MG_0183RFLQV1,mgCST 11
MG_0226RFLQV1,mgCST 10
MG_0254RFLQV1,mgCST 9
MG_0262RFLQV1,mgCST 11
MG_0269RFLQV1,mgCST 13
MG_0273RFLQV1,mgCST 18
MG_0277RFLQV1,mgCST 18
MG_0279RFLQV1,mgCST 9
MG_0283AFLQV1,mgCST 3
MG_0285RFLQV1,mgCST 14
MG_0295RFLQV1,mgCST 16
MG_0321RFLQV1,mgCST 1
MG_0325RFLQV1,mgCST 1
MG_0330RFLQV1,mgCST 5
MG_0338RFLQV1,mgCST 20
MG_0342RFLQV1,mgCST 1
MG_0345RFLQV1,mgCST 9
MG_0350RFLQV1,mgCST 20
MG_0365RFLQV1,mgCST 1
MG_0371RFLQV1,mgCST 20
MG_0383RFLQV1,mgCST 17
MG_0384RFLQV1,mgCST 9
MG_0387RFLQV1,mgCST 11
MG_0388RFLQV1,mgCST 19
MG_0400RFLQV1,mgCST 3
MG_0403RFLQV1,mgCST 26
MG_0406RFLQV1,mgCST 19
MG_0407RFLQV1,mgCST 10
MG_0411RFLQV1,mgCST 26
MG_0412RFLQV1,mgCST 1
MG_0419RFLQV1,mgCST 20
MG_0422RFLQV1,mgCST 9
MG_0426RFLQV1,mgCST 13
MG_0431RFLQV1,mgCST 9
MG_0440RFLQV1,mgCST 11
MG_0449RFLQV1,mgCST 11
MG_0450RFLQV1,mgCST 9
MG_0451RFLQV1,mgCST 9
MG_0455RFLQV1,mgCST 11
MG_0457RFLQV1,mgCST 15
MG_0462RFLQV1,mgCST 18
MG_0466RFLQV1,mgCST 5
MG_0470RFLQV1,mgCST 11
MG_0471RFLQV1,mgCST 17
MG_0481RFLQV1,mgCST 3
MG_0482RFLQV1,mgCST 5
MG_0484RFLQV1,mgCST 11
MG_0490RFLQV1,mgCST 19
MG_0491RFLQV1,mgCST 18
MG_0494RFLQV1,mgCST 1
MG_0497RFLQV1,mgCST 20
MG_0503RFLQV1,mgCST 1
MG_0505RFLQV1,mgCST 20
MG_0509RFLQV1,mgCST 1
MG_0521RFLQV1,mgCST 18
MG_0526RFLQV1,mgCST 1
MG_0532RFLQV1,mgCST 1
MG_0533RFLQV1,mgCST 11
MG_0537RFLQV1,mgCST 12
MG_0542RFLQV1,mgCST 9
MG_0545RFLQV1,mgCST 18
MG_0555RFLQV1,mgCST 5
MG_0557RFLQV1,mgCST 11
MG_0563RFLQV1,mgCST 11
MG_0573RFLQV1,mgCST 11
MG_0574RFLQV1,mgCST 9
MG_0577RFLQV1,mgCST 10
MG_0580RFLQV1,mgCST 10
MG_0600RFLQV1,mgCST 9
MG_0602RFLQV1,mgCST 9
MG_0616RFLQV1,mgCST 20
MG_0620RFLQV1,mgCST 1
MG_0624RFLQV1,mgCST 20
MG_0626RFLQV1,mgCST 11
MG_0631RFLQV1,mgCST 15
MG_0632RFLQV1,mgCST 12
MG_0633RFLQV1,mgCST 14
MG_0634RFLQV1,mgCST 5
MG_0635RFLQV1,mgCST 18
MG_0639RFLQV1,mgCST 3
MG_0642RFLQV1,mgCST 11
MG_0644RFLQV1,mgCST 10
MG_0645RFLQV1,mgCST 1
MG_0648RFLQV1,mgCST 10
MG_0650RFLQV1,mgCST 15
MG_0653RFLQV1,mgCST 18
MG_0663RFLQV1,mgCST 20
MG_0665RFLQV1,mgCST 19
MG_0671RFLQV1,mgCST 15
MG_0674RFLQV1,mgCST 10
MG_0687RFLQV1,mgCST 7
MG_0698RFLQV1,mgCST 1
MG_0699RFLQV1,mgCST 18
MG_0718RFLQV1,mgCST 22
MG_0733RFLQV1,mgCST 18
MG_0779RFLQV1,mgCST 26
MG_0787RFLQV1,mgCST 19
MG_0801RFLQV1,mgCST 10
MG_0806RFLQV1,mgCST 18
MG_0808RFLQV1,mgCST 18
MG_0818RFLQV1,mgCST 18
MG_0835RFLQV1,mgCST 11
MG_0841RFLQV1,mgCST 20
MG_0845RFLQV1,mgCST 11
MG_0846RFLQV1,mgCST 11
MG_0857RFLQV1,mgCST 13
MG_0867RFLQV1,mgCST 19
MG_0869RFLQV1,mgCST 15
MG_0879RFLQV1,mgCST 20
MG_0930RFLQV1,mgCST 3
MG_0942RFLQV1,mgCST 19
MG_0960RFLQV1,mgCST 17
MG_0962RFLQV1,mgCST 20
MG_0963RFLQV1,mgCST 11
MG_0969RFLQV1,mgCST 21
MG_0996RFLQV1,mgCST 20
MG_1005RFLQV1,mgCST 20
MG_1009RFLQV1,mgCST 5
MG_1020RFLQV1,mgCST 9
MG_1023RFLQV1,mgCST 7
MG_1024RFLQV1,mgCST 17
MG_1050901179,mgCST 21
MG_1050901209,mgCST 21
MG_1050901239,mgCST 21
MG_1050901289,mgCST 21
MG_1050901329,mgCST 21
MG_1052RFLQV1,mgCST 11
MG_1058RFLQV1,mgCST 20
MG_1060901199,mgCST 13
MG_1060901239,mgCST 3
MG_1060901269,mgCST 3
MG_1060901339,mgCST 3
MG_1061301149,mgCST 3
MG_1061301189,mgCST 3
MG_1061301229,mgCST 3
MG_1061301269,mgCST 3
MG_1061301329,mgCST 3
MG_1062101149,mgCST 17
MG_1062101189,mgCST 17
MG_1062101239,mgCST 17
MG_1062101299,mgCST 17
MG_1062101359,mgCST 17
MG_1062201159,mgCST 9
MG_1062201199,mgCST 9
MG_1062201239,mgCST 9
